movie_title,production_budget_usd,worldwide_budget_usd
The Rocker,15000000.00,8767338.00
Battle for the Planet of the Apes,1800000.00,8800000.00
Body Double,10000000.00,8801940.00
Warlock,7000000.00,8824553.00
Barney's Version,30000000.00,8845575.00
The Inkwell,8000000.00,8864699.00
The Collection,10000000.00,8890094.00
"Mystery, Alaska",28000000.00,8891623.00
Control,6400000.00,8902141.00
Brainstorm,15000000.00,8921050.00
Cadillac Records,12000000.00,8942516.00
Cube,250000.00,8969065.00
Ben-Hur,3900000.00,9000000.00
Mr. Smith Goes To Washington,1500000.00,9000000.00
Love Me Tender,1000000.00,9000000.00
Beyond the Valley of the Dolls,1000000.00,9000000.00
Red River,3000000.00,9012000.00
Trippin',3000000.00,9017070.00
Metallica Through the Never,18000000.00,9082906.00
Meet the Blacks,900000.00,9097072.00
Fantasia 2000 (Theatrical Release),80000000.00,9103630.00
Mientras duermes,5000000.00,9109597.00
The Valley of Decision,2160000.00,9132000.00
Dr. Strangelove,1800000.00,9164370.00
What's Eating Gilbert Grape,11000000.00,9170214.00
Boom Town,2000000.00,9172000.00
Return of the Living Dead Part II,6200000.00,9205924.00
Everybody's Fine,20000000.00,9208876.00
Lolita,2000000.00,9250000.00
Le nom des gens,4600000.00,9261711.00
Me and Earl and the Dying Girl,8000000.00,9266180.00
Stone Cold,25000000.00,9286314.00
Serbuan maut,1100000.00,9297407.00
Promised Land,15000000.00,9300336.00
Peeples,15000000.00,9307166.00
On the Road,25000000.00,9313302.00
Salvando al Soldado Perez,4500000.00,9330465.00
Kissing Jessica Stein,1500000.00,9345061.00
The Martian Child,27000000.00,9352089.00
Super Babies: Baby Geniuses 2,20000000.00,9355369.00
Ernest et Celestine,12500000.00,9376444.00
Mad Hot Ballroom,500000.00,9387581.00
Sleepover,10000000.00,9408183.00
Secretary,4000000.00,9413956.00
Veronica Guerin,17000000.00,9438074.00
Ta Ra Rum Pum,7400000.00,9443864.00
Belka i Strelka. Zvezdnye sobaki,25000000.00,9445081.00
The Libertine,22000000.00,9448623.00
The Station Agent,500000.00,9470209.00
Thirteen,2000000.00,9505996.00
All the King's Men,55000000.00,9521458.00
Shade,6800000.00,9533964.00
Popstar: Never Stop Never Stopping,20000000.00,9537120.00
It's a Wonderful Life,3180000.00,9576159.00
The Dark Half,15000000.00,9579068.00
On the Waterfront,910000.00,9600000.00
Me and You and Everyone We Know,2000000.00,9615464.00
Winter in Wartime,5800000.00,9662214.00
The Perfect Match,5000000.00,9669521.00
Miracle at St. Anna,45000000.00,9676497.00
Conquest of the Planet of the Apes,1700000.00,9700000.00
Somewhere in Time,5100000.00,9709597.00
Running Scared,17000000.00,9729088.00
Paa,4300000.00,9791282.00
Jade,50000000.00,9812870.00
The Express,37500000.00,9813309.00
Dudley Do-Right,22000000.00,9818792.00
3 Strikes,4000000.00,9821335.00
Brazil,15000000.00,9930649.00
Airlift (2016),4400000.00,9969237.00
The Deep End,3000000.00,9981635.00
Judgment at Nuremberg,3000000.00,10000000.00
55 Days at Peking,17000000.00,10000000.00
Hud,2500000.00,10000000.00
Maniac,350000.00,10000000.00
King Kong,672000.00,10000650.00
Lucky Numbers,65000000.00,10014234.00
Le Violon rouge,10000000.00,10019109.00
Dirty Work,13000000.00,10020081.00
The Promise,90000000.00,10020889.00
For Greater Glory,12000000.00,10026255.00
Godzilla 2000,1000000.00,10037390.00
Mrs. Winterbourne,25000000.00,10039566.00
Elephant,3000000.00,10051516.00
Cyrus,7000000.00,10062896.00
Taking Woodstock,29000000.00,10066366.00
Duplex,40000000.00,10070651.00
The Wash,4000000.00,10097096.00
Bernie,6000000.00,10106975.00
Away We Go,21000000.00,10108016.00
ABCD (Any Body Can Dance),1900000.00,10137234.00
Lovesick,10100000.00,10143618.00
Bats,6500000.00,10155691.00
Punisher: War Zone,35000000.00,10157534.00
Sexy Beast,4300000.00,10158355.00
We Are Your Friends,2000000.00,10166209.00
Next Day Air,3000000.00,10172519.00
Henry V,9000000.00,10176701.00
Woman on Top,8000000.00,10192613.00
Saved!,5000000.00,10206551.00
Snabba Cash,4300000.00,10212403.00
White Squall,38000000.00,10229300.00
Oddball,7000000.00,10237239.00
Facing the Giants,100000.00,10243159.00
I Got the Hook-Up!,3500000.00,10317779.00
Knock Off,35000000.00,10319915.00
The Newton Boys,27000000.00,10341093.00
The Scarlet Letter,50000000.00,10359006.00
Town & Country,105000000.00,10364769.00
All is Lost,8500000.00,10386814.00
Thunder and the House of Magic,34000000.00,10392666.00
The Man,20000000.00,10393696.00
Head Over Heels,14000000.00,10397365.00
Moby Dick,4500000.00,10400000.00
Elmer Gantry,3000000.00,10400000.00
Sex Drive,19000000.00,10412485.00
First Daughter,30000000.00,10419084.00
The Brothers McMullen,50000.00,10426506.00
LOL,11000000.00,10431506.00
Dangerous Liaisons,24200000.00,10447579.00
Casablanca,1039000.00,10462500.00
Steamboy,20000000.00,10468867.00
The Collector,3000000.00,10473836.00
Home Fries,15000000.00,10513979.00
Moms’ Night Out,5000000.00,10537341.00
We're No Angels,20000000.00,10555348.00
Pollock,6000000.00,10557291.00
Mad City,50000000.00,10561038.00
Three to Tango,20000000.00,10570375.00
Drop Dead Gorgeous,10000000.00,10571408.00
The Great Raid,60000000.00,10597070.00
Return to Oz,27000000.00,10618813.00
The Virgin Suicides,6000000.00,10619770.00
The Boondock Saints 2: All Saints Day,8000000.00,10629320.00
The Apparition,17000000.00,10637281.00
The Savages,9000000.00,10642023.00
The End of the Affair,23000000.00,10660147.00
Ghost Dog: The Way of the Samurai,2000000.00,10672492.00
The Astronaut's Wife,34000000.00,10672566.00
Moon,5000000.00,10676073.00
Deconstructing Harry,20000000.00,10686841.00
RoboCop 3,22000000.00,10696210.00
Universal Soldier II: The Return,40000000.00,10717421.00
Glengarry Glen Ross,12500000.00,10725228.00
Gettysburg,25000000.00,10731997.00
Not Easily Broken,5000000.00,10732909.00
The Belko Experiment,5000000.00,10744134.00
The Beastmaster,5000000.00,10751126.00
Prom,8000000.00,10763183.00
New York Stories,15000000.00,10763469.00
We Need to Talk About Kevin,7000000.00,10765283.00
The Night Listener,4000000.00,10770993.00
Silver Bullet,7000000.00,10803211.00
You Can Count on Me,1200000.00,10827356.00
Get Low,7000000.00,10828305.00
The Hole,7500000.00,10834406.00
Here on Earth,15000000.00,10845127.00
Extract,7500000.00,10849158.00
The Darkness,4000000.00,10898293.00
What the #$'! Do We Know,4000000.00,10941801.00
Black Snake Moan,15000000.00,10951153.00
The Birth of a Nation,110000.00,11000000.00
The Lost Weekend,1250000.00,11000000.00
Show Boat,2300000.00,11000000.00
Solomon and Sheba,5000000.00,11000000.00
Pat Garrett and Billy the Kid,4638783.00,11000000.00
A Farewell To Arms,5000000.00,11014685.00
Jonah Hex,47000000.00,11022696.00
Krush Groove,3000000.00,11052713.00
Big Trouble in Little China,25000000.00,11100000.00
Brokedown Palace,25000000.00,11115766.00
The Cooler,4000000.00,11131455.00
The Astronaut Farmer,13000000.00,11141213.00
Barney's Great Adventure,15000000.00,11156471.00
Fun Size ,14000000.00,11166615.00
Never Let Me Go,15000000.00,11173718.00
The Squid and the Whale,1500000.00,11191423.00
Deep Rising,45000000.00,11203026.00
Superman IV: The Quest for Peace,17000000.00,11227824.00
Stop-Loss,25000000.00,11229035.00
Before Sunset,2000000.00,11234552.00
Straw Dogs,25000000.00,11253821.00
Son of Rambow: A Home Movie,2000000.00,11263263.00
Chill Factor,34000000.00,11263966.00
Frances Ha,3000000.00,11267511.00
Lars and the Real Girl,12500000.00,11277119.00
Water,3000000.00,11322573.00
Snow Flower and the Secret Fan,6000000.00,11348205.00
Reign of Assassins,14000000.00,11354230.00
Sphinx,10000000.00,11400000.00
Beyond Borders,60000000.00,11427090.00
The Sessions,1000000.00,11495204.00
Turbulence,55000000.00,11532774.00
Tsotsi,3000000.00,11537539.00
The Cookout,16000000.00,11540112.00
The Legend of Drunken Master,2000000.00,11546543.00
The Order,35000000.00,11559747.00
Wing Commander,30000000.00,11578022.00
Banlieue 13,15000000.00,11599903.00
Lifeforce,25000000.00,11603545.00
The Muse,15000000.00,11614954.00
Dum Maaro Dum,5200000.00,11633427.00
The Adventures of Elmo in Grouchland,17000000.00,11634458.00
Halloween 5: The Revenge of Michael Myers,6000000.00,11642254.00
Quills,13500000.00,11732088.00
Ca$h,13700000.00,11738256.00
The Great Escape,4000000.00,11744471.00
3 Ninjas Kick Back,20000000.00,11744960.00
Layer Cake,6500000.00,11745931.00
Micmacs,42000000.00,11756922.00
Shopgirl,7500000.00,11758418.00
Seeking a Friend for the End of the World,10000000.00,11766959.00
Hoop Dreams,700000.00,11768371.00
The Longshots,23000000.00,11778396.00
Tales from the Hood,6000000.00,11784569.00
The Rules of Attraction,4000000.00,11799060.00
Bloodsport,1500000.00,11806119.00
The Thirteenth Floor,16000000.00,11810854.00
Ratchet and Clank,20000000.00,11813410.00
Getaway,18000000.00,11813989.00
Conviction,12500000.00,11826980.00
Chloe,13000000.00,11831131.00
Narc,7500000.00,11843260.00
Mulholland Drive,15000000.00,11919578.00
End of the Spear,10000000.00,11924041.00
"4 luni, 3 saptamani si 2 zile",900000.00,11993156.00
Harper,3500000.00,12000000.00
Sorcerer,21600000.00,12000000.00
In Dreams,30000000.00,12017369.00
Harry Brown,7300000.00,12023606.00
How to Lose Friends & Alienate People,28000000.00,12031443.00
Dave Chappelle's Block Party,3000000.00,12051924.00
Holy Man,60000000.00,12069719.00
Stoker,12000000.00,12079308.00
Office Space,10000000.00,12179708.00
Confidence,15000000.00,12212417.00
Abandon,25000000.00,12219367.00
The Lunchbox,1700000.00,12231500.00
Lone Wolf McQuade,5000000.00,12232628.00
Låt den rätte komma in,4500000.00,12247682.00
Whiteout,35000000.00,12254746.00
Dark Blue,15000000.00,12262065.00
My Life Without Me,2500000.00,12267275.00
Chasing Liberty,23000000.00,12291975.00
Escape from the Planet of the Apes,2500000.00,12300000.00
True Romance,12500000.00,12309980.00
Street Fighter: The Legend of Chun-Li,50000000.00,12335036.00
The Interview,44000000.00,12342632.00
Soul Men,40000000.00,12345883.00
Ready to Rumble,24000000.00,12372410.00
The Andromeda Strain,6500000.00,12376563.00
I'm Not There,20000000.00,12397613.00
Undisputed,20000000.00,12398628.00
Bella,3300000.00,12405473.00
Nueve Reinas,1500000.00,12412889.00
Bad Lieutenant: Port of Call New Orleans,25000000.00,12413949.00
Knockaround Guys,15000000.00,12419700.00
Hot Tub Time Machine 2,14000000.00,12452601.00
War and Peace,6000000.00,12500000.00
Zoom,35000000.00,12506188.00
Breakin' All the Rules,9000000.00,12512317.00
Sorority Boys,12000000.00,12516222.00
People Like Us,16000000.00,12519804.00
Gattaca,36000000.00,12532777.00
Love Jones,10000000.00,12554569.00
Bachelorette,3000000.00,12577401.00
Gossip,14000000.00,12591270.00
Diner,5000000.00,12592907.00
Frenzy,3500000.00,12600000.00
Extreme Ops,40000000.00,12624471.00
Chasing Papi,9000000.00,12657377.00
Idlewild,15000000.00,12669914.00
The Omega Code,7200000.00,12678312.00
"Bon Cop, Bad Cop",8000000.00,12740705.00
Mystic Pizza,6000000.00,12793213.00
The Nun's Story,3500000.00,12800000.00
Highlander: Endgame,15000000.00,12801190.00
Marvin's Room,23000000.00,12803305.00
Unfinished Business,35000000.00,12819501.00
Deception,25000000.00,12850033.00
Highlander,16000000.00,12900000.00
Mary Reilly,47000000.00,12900000.00
Living Out Loud,12000000.00,12905901.00
Gods and Generals,55000000.00,12923936.00
Slither,15250000.00,12930343.00
The Green Inferno,1000000.00,12931569.00
April Fool's Day,5000000.00,12947763.00
Lone Star,5000000.00,12961389.00
Bandslam,20000000.00,12967829.00
Torn Curtain,3000000.00,13000000.00
The Wiz,24000000.00,13000000.00
They Live,4000000.00,13000000.00
Kinsey,11000000.00,13000959.00
In Cold Blood,3500000.00,13007551.00
The Crew,23000000.00,13019253.00
Crooklyn,14000000.00,13024170.00
Angela's Ashes,25000000.00,13038660.00
Ghosts of Mississippi,36000000.00,13052741.00
The Way of the Gun,9000000.00,13061935.00
The Ice Pirates,9000000.00,13075390.00
Hillary’s America: The Secret History of the Democratic Party,5000000.00,13099931.00
To Kill A Mockingbird,2000000.00,13129846.00
Akmareul Boatda,6000000.00,13168809.00
The Honeymooners,27000000.00,13174426.00
Family Plot,3000000.00,13200000.00
Anything Else,18000000.00,13203044.00
I Think I Love My Wife,14000000.00,13205411.00
FearDotCom,40000000.00,13208023.00
In the Name of the King: A Dungeon Siege Tale,60000000.00,13233220.00
The Pirates Who Don't Do Anything: A VeggieTales Movie,15000000.00,13248444.00
Vera Drake,11000000.00,13353855.00
Bullets Over Broadway,20000000.00,13383747.00
The Legend of the Lone Ranger,18000000.00,13400000.00
Secrets & Lies,4500000.00,13417292.00
While We're Young,10000000.00,13423176.00
The Lords of Dogtown,25000000.00,13424365.00
Chasseurs de dragons,17000000.00,13446115.00
The History Boys,3700000.00,13447998.00
Los tres entierros de Melquiades Estrada,15000000.00,13454474.00
Le Havre,5500000.00,13480196.00
The Deep End of the Ocean,40000000.00,13508635.00
The Little Vampire,22000000.00,13555988.00
Tomcats,11000000.00,13558739.00
Redemption,23000000.00,13593473.00
Osmosis Jones,70000000.00,13596911.00
American Outlaws,35000000.00,13601109.00
Sydney White,16500000.00,13636339.00
The Gunman,40000000.00,13644292.00
Mutiny on The Bounty,19000000.00,13680000.00
Hey Arnold! The Movie,10000000.00,13684949.00
Fear and Loathing in Las Vegas,18500000.00,13711903.00
The Ladies Man,11000000.00,13719474.00
One Night with the King,20000000.00,13725032.00
Highlander III: The Sorcerer,26000000.00,13738574.00
Blow Out,18000000.00,13747234.00
The House of the Dead,7000000.00,13767816.00
Juwanna Mann,15600000.00,13771817.00
She's the One,3500000.00,13795053.00
"New York, New York",14000000.00,13800000.00
The Man Who Knew Too Little,20000000.00,13801755.00
The Spanish Prisoner,10000000.00,13835130.00
My Stepmother Is an Alien,16000000.00,13854000.00
Religulous,2500000.00,13881317.00
Waltz with Bashir,2000000.00,13912289.00
Stealing Harvard,25000000.00,13973532.00
Creepshow 2,3500000.00,14000000.00
Def Jam's How To Be a Player,12000000.00,14010363.00
How to Deal,16000000.00,14108518.00
Poltergeist III,9500000.00,14114000.00
Little Children,14000000.00,14121177.00
In the Land of Women,10500000.00,14140402.00
Dirty Pretty Things,10000000.00,14156753.00
Labor Day,18000000.00,14189810.00
Buffy the Vampire Slayer,7000000.00,14231669.00
The Return of the Living Dead,4000000.00,14237880.00
Freddy Got Fingered,15000000.00,14249005.00
Josie and the Pussycats,22000000.00,14252830.00
Sukkar banat,1600000.00,14253760.00
The Messenger: The Story of Joan of Arc,50000000.00,14271297.00
I Dreamed of Africa,34000000.00,14291999.00
Ballistic: Ecks vs. Sever,70000000.00,14294842.00
Do You Believe?,2300000.00,14305540.00
Beginners,3200000.00,14314407.00
Tropa de Elite,6537890.00,14319195.00
Turistas,10000000.00,14321070.00
Hot Rod,25000000.00,14334401.00
Friday the 13th Part VIII: Jason Takes Manhattan,5000000.00,14343976.00
Memoirs of an Invisible Man,40000000.00,14358033.00
Ishtar,40000000.00,14375181.00
Snow Falling on Cedars,36000000.00,14378353.00
Tea with Mussolini,14000000.00,14395874.00
Trapeze,4000000.00,14400000.00
Halloween 3: Season of the Witch,2500000.00,14400000.00
Maria Full of Grace,3200000.00,14441158.00
"Life, or Something Like It",40000000.00,14448589.00
Welcome to Mooseport,26000000.00,14469428.00
Flight of the Intruder,35000000.00,14471440.00
Being Julia,18000000.00,14488705.00
Red Lights,17700000.00,14518884.00
Kickboxer,1500000.00,14533681.00
School Daze,6000000.00,14545844.00
Soul Plane,16000000.00,14553807.00
Hellraiser,1000000.00,14564000.00
Envy,20000000.00,14566246.00
Birth,20000000.00,14603001.00
Beyond the Lights,7000000.00,14618727.00
Soldier,75000000.00,14623082.00
Khiladi 786,5600000.00,14683763.00
Out Cold,11000000.00,14786394.00
Radio Days,16000000.00,14792779.00
Possession,25000000.00,14805812.00
A Dangerous Method,20000000.00,14807531.00
Raise Your Voice,15000000.00,14811980.00
Flyboys,60000000.00,14816379.00
Supernova,60000000.00,14816494.00
Hollywood Ending,16000000.00,14839383.00
Eve's Bayou,5000000.00,14843425.00
Regression,20000000.00,14883495.00
Boat Trip,15000000.00,14933713.00
The Hudsucker Proxy,40000000.00,14938149.00
Kiss of Death,40000000.00,14942422.00
Scout's Guide to the Zombie Apocalypse,15000000.00,14947243.00
Solaris,47000000.00,14970038.00
The Vatican Tapes,13000000.00,14999638.00
The Egyptian,5000000.00,15000000.00
The Front Page,4000000.00,15000000.00
Spaced Invaders,3000000.00,15000000.00
Obitaemyy ostrov,36500000.00,15000000.00
Haakon Haakonsen,8500000.00,15024232.00
The Reef,10000000.00,15037867.00
Twilight,20000000.00,15055091.00
Dead Man on Campus,14000000.00,15064948.00
The Painted Veil,19400000.00,15118795.00
Halloween: The Curse of Michael Myers,5000000.00,15126948.00
Io sono l’amore,10000000.00,15132211.00
Firestarter,15000000.00,15136870.00
La science des rêves,6000000.00,15137932.00
Iris,5500000.00,15155021.00
Chasing Amy,250000.00,15155095.00
The Corruptor,10000000.00,15164492.00
Thinner,14000000.00,15171475.00
The Long Riders,10000000.00,15198912.00
Sweet Sweetback's Baad Asssss Song,150000.00,15200000.00
Snezhnaya koroleva,7000000.00,15206330.00
"The Goods: Live Hard, Sell Hard",10000000.00,15297318.00
Ida,2600000.00,15298355.00
The Assassination of Jesse James by the Coward Robert Ford,30000000.00,15313631.00
The Haunting of Molly Hartley,5000000.00,15318257.00
Alex & Emma,30000000.00,15358583.00
Touching the Void,2000000.00,15396525.00
Out of the Furnace,22000000.00,15434375.00
The Jacket,28500000.00,15452978.00
The Fountain,35000000.00,15461638.00
The Weather Man,20000000.00,15466961.00
The Greatest Game Ever Played,25000000.00,15468266.00
In Too Deep,7000000.00,15471229.00
Bait,35000000.00,15471969.00
The Greatest Story Ever Told,20000000.00,15473333.00
Shanghai,50000000.00,15505922.00
My Boss's Daughter,14000000.00,15549702.00
Ulee's Gold,2700000.00,15600000.00
Made in Dagenham,8000000.00,15644196.00
Unforgettable,12000000.00,15668012.00
Larry the Cable Guy: Health Inspector,17000000.00,15680099.00
The Last Station,18000000.00,15696146.00
High Plains Drifter,5500000.00,15700000.00
The Island,22000000.00,15716828.00
Jaws 4: The Revenge,23000000.00,15728335.00
Anonymous,27500000.00,15815509.00
Extraordinary Measures,31000000.00,15826984.00
Haevnen,5500000.00,15867314.00
The Conspirator,25000000.00,15907411.00
Thomas and the Magic Railroad,19000000.00,15911332.00
Jason Goes to Hell: The Final Friday,3000000.00,15935068.00
Cry Wolf,1000000.00,15943081.00
Drowning Mona,16000000.00,15980376.00
The Ice Storm,18000000.00,16011975.00
O (Othello),5000000.00,16017403.00
Incendies,6800000.00,16038343.00
The Birth of a Nation,10000000.00,16084310.00
"Bright Lights, Big City",25000000.00,16118077.00
Imagine That,55000000.00,16123323.00
Winter's Bone,2000000.00,16131551.00
Wes Craven Presents: They,17000000.00,16140842.00
Flirting with Disaster,7000000.00,16149180.00
Silence,46500000.00,16149791.00
Mo' Better Blues,10000000.00,16153000.00
House of Sand and Fog,16500000.00,16157923.00
Just Visiting,40000000.00,16172200.00
Paranoia,40000000.00,16173593.00
Shine a Light,1000000.00,16173879.00
The Emperor's Club,12500000.00,16193713.00
Black Christmas,9000000.00,16235738.00
Howard the Duck,30000000.00,16295774.00
Muppets From Space,24000000.00,16304786.00
Pride and Prejudice and Zombies,28000000.00,16311335.00
A Simple Plan,17000000.00,16316273.00
Two Lovers,12000000.00,16349034.00
The Words,6000000.00,16369708.00
"I Love You, Beth Cooper",18000000.00,16382538.00
The Powerpuff Girls,25000000.00,16425701.00
Der Baader Meinhof Komplex,19700000.00,16498827.00
American Dreamz,17000000.00,16510971.00
Sea Rex 3D: Journey to a Prehistoric World,5000000.00,16515203.00
Original Sin,26000000.00,16521410.00
Transamerica,1000000.00,16553163.00
Mindhunters,27000000.00,16566235.00
Blue Valentine,1000000.00,16566240.00
Baby's Day Out,50000000.00,16581575.00
The Good Girl,8000000.00,16585503.00
Silent House,2000000.00,16610760.00
Paparazzi,20000000.00,16612072.00
Digimon: The Movie,5000000.00,16628751.00
Bringing Out The Dead,32000000.00,16640210.00
Tremors,10000000.00,16667084.00
Battle of the Year,20000000.00,16723377.00
My Soul to Take,25000000.00,16727470.00
54,13000000.00,16757163.00
"Kiss Kiss, Bang Bang",15000000.00,16829464.00
Femme Fatale,35000000.00,16830252.00
Rabbit-Proof Fence,7000000.00,16866928.00
Death Sentence,20000000.00,16907831.00
Godsend,30000000.00,16910708.00
Jason X,14000000.00,16951798.00
Catch That Kid,18000000.00,16959614.00
Win a Date with Tad Hamilton!,24000000.00,16980098.00
The Country Bears,20000000.00,16988996.00
Kingdom of the Spiders,500000.00,17000000.00
"House of 1,000 Corpses",7000000.00,17005466.00
Central do Brasil,2900000.00,17006158.00
Somewhere,7000000.00,17023121.00
Pandorum,40000000.00,17033431.00
Kung Pow: Enter the Fist,10000000.00,17033556.00
Kites,9200000.00,17155193.00
Election,8500000.00,17202854.00
Hit & Run,22000000.00,17216955.00
Hudson Hawk,65000000.00,17218916.00
Bright Star,8500000.00,17220091.00
The Phantom,45000000.00,17220599.00
A Few Best Men,15000000.00,17224539.00
It Comes at Night,5000000.00,17250101.00
Dolphins and Whales Tribes of the Ocean 3D,6000000.00,17252287.00
Max Keeble's Big Move,12000000.00,17292381.00
The Matador,10000000.00,17300838.00
12 Rounds,20000000.00,17306648.00
My Baby's Daddy,12000000.00,17322212.00
Sunshine Cleaning,5000000.00,17329337.00
And So It Goes,18000000.00,17360801.00
Extreme Measures,38000000.00,17378193.00
Half Baked,8000000.00,17394881.00
Les Triplettes de Belleville,2000000.00,17403168.00
A Guy Thing,20000000.00,17430594.00
Roll Bounce,10000000.00,17433072.00
Glee: The 3D Concert Movie,9000000.00,17462398.00
Rachel Getting Married,12000000.00,17475475.00
Beneath the Planet of the Apes,3000000.00,17489009.00
Rebound,45000000.00,17492014.00
Addicted,5000000.00,17499242.00
Invasion U.S.A.,10000000.00,17536256.00
Fruitvale Station,900000.00,17549645.00
Adventureland,9800000.00,17553055.00
Mommy,4900000.00,17561100.00
Cat on a Hot Tin Roof,3000000.00,17570324.00
Swing Vote,21000000.00,17589867.00
Kit Kittredge: An American Girl,10000000.00,17657973.00
Little Boy,20000000.00,17684355.00
The Oxford Murders,10000000.00,17704131.00
The Rage: Carrie 2,21000000.00,17760244.00
Halloween 4: The Return of Michael Myers,5000000.00,17768757.00
The Contender,9000000.00,17804273.00
School for Scoundrels,20000000.00,17807569.00
City of Ember,38000000.00,17830244.00
Brothers,13000000.00,17856688.00
Antitrust,30000000.00,17865209.00
Stolen,35000000.00,17967746.00
The Howling,1000000.00,17985000.00
Everything You Always Wanted to Know,2000000.00,18016290.00
Wes Craven's New Nightmare,8000000.00,18090181.00
Friends with Money,6500000.00,18110152.00
Last Man Standing,67000000.00,18115927.00
All the Pretty Horses,45000000.00,18120267.00
Dope,7000000.00,18190831.00
Repo Men,32000000.00,18195238.00
Daddy Day Camp,6000000.00,18209872.00
Harold & Kumar Go to White Castle,9000000.00,18225165.00
Loser,20000000.00,18250106.00
Eye of the Beholder,15000000.00,18260865.00
Machete Kills,20000000.00,18273009.00
The Founder,15000000.00,18301418.00
Jagten,3450000.00,18309793.00
Simon Birch,20000000.00,18310591.00
The Infiltrator,47500000.00,18329653.00
Sleeper,2000000.00,18344729.00
Sabotage,35000000.00,18376443.00
Ladyhawke,20000000.00,18400000.00
Sugar Hill,10000000.00,18423914.00
Empire,3500000.00,18495444.00
The Curse of the Jade Scorpion,26000000.00,18496522.00
A Mighty Wind,6000000.00,18504539.00
Cutthroat Island,92000000.00,18517322.00
De-Lovely,15000000.00,18524496.00
[Rec] 2,5600000.00,18527766.00
An Unfinished Life,30000000.00,18535575.00
The Quick and the Dead,32000000.00,18552460.00
The Fan,55000000.00,18582965.00
Fired Up,20000000.00,18608570.00
Michael Jordan to the MAX,7000000.00,18642318.00
Anywhere But Here,23000000.00,18653615.00
Waiting...,1125000.00,18673274.00
3000 Miles to Graceland,62000000.00,18708848.00
Housefull,10100000.00,18726300.00
Admission,13000000.00,18733666.00
The Merchant of Venice,30000000.00,18765585.00
The Edge of Seventeen,9000000.00,18802255.00
Under the Rainbow,20000000.00,18826490.00
See No Evil,8000000.00,18828036.00
Whip It,15000000.00,18856151.00
Mine Vaganti,9100000.00,18872126.00
Akeelah and the Bee,8000000.00,18959424.00
The World's Fastest Indian,25000000.00,18991288.00
The Boys from Brazil,12000000.00,19000000.00
Disturbing Behavior,15000000.00,19014238.00
The Replacement Killers,30000000.00,19035741.00
The Drop,12600000.00,19054534.00
Rushmore,10000000.00,19080435.00
Capitalism: A Love Story,20000000.00,19121531.00
Vanity Fair,23000000.00,19123851.00
A Mighty Heart,15000000.00,19153568.00
Friday the 13th Part VII: The New Blood,2800000.00,19170001.00
The Visitor,4000000.00,19174817.00
Martin Lawrence Live: RunTelDat,3000000.00,19184820.00
Half Past Dead,25000000.00,19233280.00
Bandidas,35000000.00,19282590.00
2046,12000000.00,19287485.00
Summer of Sam,22000000.00,19288130.00
Rock Star,38000000.00,19317765.00
Tuck Everlasting,15000000.00,19344615.00
Wish Upon,12000000.00,19379463.00
Get Carter,40000000.00,19417182.00
Doug's 1st Movie,5000000.00,19421271.00
House Party 2,5000000.00,19438638.00
The Light Between Oceans,20000000.00,19450780.00
Friday the 13th Part VI: Jason Lives,3000000.00,19472057.00
The Perfect Man,10000000.00,19535005.00
Blackhat,70000000.00,19548419.00
Before I Go to Sleep,22000000.00,19563579.00
Heavy Metal,9300000.00,19571091.00
Dead Man Down,30000000.00,19599974.00
Nighthawks,5000000.00,19600000.00
Vampire in Brooklyn,14000000.00,19637147.00
Youth in Revolt,18000000.00,19685588.00
Summer Catch,17000000.00,19693891.00
Young Sherlock Holmes,18000000.00,19739000.00
Amelia,40000000.00,19756077.00
Get Over It,10000000.00,19860259.00
Hard Rain,70000000.00,19870567.00
Caché,8000000.00,19891331.00
Fled,30000000.00,19892205.00
Un Prophète,13000000.00,19910624.00
crazy/beautiful,13000000.00,19929123.00
Frailty,11000000.00,19947280.00
The Kentucky Fried Movie,600000.00,20000000.00
Another Year,8000000.00,20005613.00
The Life of Brian,4000000.00,20008693.00
I Heart Huckabees,22000000.00,20034713.00
Down to You,9000000.00,20035310.00
Creepshow,8000000.00,20036244.00
Blindness,25000000.00,20052958.00
Reign Over Me,20000000.00,20081987.00
Legends of Oz: Dorothy’s Return,70000000.00,20107933.00
Nanjing! Nanjing!,12000000.00,20122558.00
Love and Death,3000000.00,20123742.00
Multiplicity,45000000.00,20133326.00
Serving Sara,29000000.00,20146150.00
Beerfest,17500000.00,20159316.00
Barry Lyndon,11000000.00,20169934.00
Hodejegerne,5250000.00,20188740.00
Die Fälscher,6250000.00,20199663.00
Action Jackson,7000000.00,20257000.00
Vampires,20000000.00,20268825.00
City Hall,40000000.00,20278055.00
The Namesake,8500000.00,20288774.00
Valentine,10000000.00,20384136.00
F.I.S.T,11000000.00,20388920.00
Duel in the Sun,6000000.00,20400000.00
Kids,1500000.00,20412216.00
Shame,6500000.00,20412841.00
The Adventures of Ford Fairlane,49000000.00,20423389.00
Margin Call,3400000.00,20433227.00
My Life in Ruins,17000000.00,20465206.00
The Nutcracker in 3D,90000000.00,20466016.00
Easy Virtue,14000000.00,20537741.00
The Last Castle,60000000.00,20541668.00
Bobby,14000000.00,20597806.00
Country Strong,15000000.00,20601987.00
A Christmas Story,3250000.00,20605209.00
Walk Hard: The Dewey Cox Story,35000000.00,20606053.00
Keanu,15000000.00,20609977.00
It Follows,2000000.00,20649774.00
